除age为原本的数值、gender只有0(没关系)/1(男)/2（女）、facevalue为0-30外，其他都是0-10的数值，beard/mustache/glass/sunglass/eyeclosed有为10，无为0
“1”为乘1，“－”为乘－1，“0”为乘0，“2”为乘2，random的5为0-5的随机数
	age gender facevalue beard mustache glass sunglass eyeclosed monthopen happy angry sad confused disgusted surprised calm random
呆 <=50 0 0 - - 1 - 1 1 0 - - 1 - 1 1 5 
萌 <=50 0 1 - - 1 - 1 1 0 - - 1 - 1 1 5
御姐 >=15&&<=50 2 1 - - 0 1 - 0 1 0 - - 0 0 1 5
壕 >=10&&<=60 0 0 1 1 1 1 0 0 1 - - - 0 0 1 5
萝莉 <=25 2 1 - - 1 0 0 1 1 0 - 0 - 0 0 5
正太 <=25 1 1 - - 1 0 0 1 1 0 - 0 - 0 0 5
眼睛娘 >=12&&<=50 2 1 0 0 2 0 0 0 0 0 0 0 0 0 1 5
眼睛君 >=12&&<=50 1 1 0 1 2 0 0 0 0 0 0 0 0 0 1 5
傲娇 >=8&&<=50 0 1 0 0 0 0 0 10- 0 1 - 1 1 0 - 5
女王 >=8&&<=50 2 1 - - 0 1 0 0 1 0 0 - 1 - 1 5
冒失 >=6 0 0 0 0 1 - 1 1 1 - - 1 0 1 - 5
吃货 >=0 0 0 0 0 0 0 0 1 0 - - 1 - - 1 5
大叔 >=18 1 1 1 1 0 0 0 0 1 0 0 0 0 0 1 5
伪大叔 >=18 1 1 1 1 0 0 0 0 1 0 0 0 0 0 1 5
腹黑 >=10 0 0 0 0 1 1 - 0 - 0 - - 1 0 - 5
闷骚 >=10 0 0 1 1 1 - 1 1 - 0 1 1 0 - 1 5
暖男 >=12 1 1 0 0 1 - 0 0 1 0 0 1 0 - 1 5
人赢 >=12 0 1 0 0 1 1 - 0 1 - - - - 0 1 5
男神 >=12 1 1 0 0 1 1 - 0 1 - - - - 0 1 5
女神 >=12 2 1 0 0 1 1 - 0 1 - - - - 0 1 5
淡定帝 >=12 0 1 1 1 1 - 0 - - - - 1 - - 2 5
宅男 >=12 1 1 1 1 1 - 0 1 0 0 0 1 0 0 1 5
阳光 >=6 0 1 - - 0 1 - 0 1 - - - - 1 0 5
机智 >=6 0 0 0 0 1 0 - 0 1 - - - - 0 1 5
傻帽 >=6 0 0 - - - - 1 1 1 - - 1 1 1 0 5
逗逼 >=6 0 0 - - 0 - 1 1 1 - - 1 0 1 0 5
奇葩 >=6 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 5
傻白甜 <=50 2 0 - - 1 - 1 1 0 - - 1 - 1 1 5 
二货 >=6 0 0 0 0 1 - 1 1 1 - - 1 0 1 - 5
小男生 <=6 1 0 - - 0 0 0 0 0 0 0 0 0 0 0 5
小女生 <=6 2 0 - - 0 0 0 0 0 0 0 0 0 0 0 5
Baby <=3 0 0 - - 0 0 0 0 0 0 0 0 0 0 0 5
熊孩子 >=3&&<=7 0 0 - - 0 1 0 1 1 1 - - 1 1 0 5
老人家 >=60 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 5
开心果 <=60 0 0.5 0 0 0 0 0 1 1 - - 1 0 1 0 5
暴躁君 >=6 0 0 0 0 0 0 0 1 - 1 1 1 1 1 - 5
多愁善感 >=6 0 1 0 0 1 - - - - - 1 1 1 0 2 5
调皮 >=3&&<=18 0 0 - - 0 1 0 1 1 1 - - 1 1 0 5
温柔 >=6 0 1 0 0 1 - - - - - 1 1 1 0 2 5
活泼 >=3&&<=18 0 0 - - 0 1 0 1 1 1 - - 1 1 0 5
斯文 >=6 0 1 1 1 1 - 0 - - - - 1 - - 2 5
豪放 >=7 0 1 0 0 0 1 0 0 1 - - - - 0 0 5
老练 >=30 0 1 1 1 1 0 - 0 1 0 - - 0 0 1 5
贤惠 >=18 2 1 - - 1 - 0 0 0 - - 0 - 1 1 5
浪 >=15 0 1 0 0 0 2 0 0 1 0 - 0 0 1 0 5
敏感 >=6 0 1 0 0 1 - - - - - 1 1 1 0 2 5
能干 >=10 0 1 1 1 1 0 - 0 1 0 - 0 0 0 1 5
拖延症 >=13 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 5
情绪化 >=6 0 0 0 0 0 0 0 1 - 1 1 1 1 1 - 5
倒霉 >=6 0 0 0 0 0 0 1 1 - - 1 1 1 1 0 5
